"","treatment_class","variable","N","value","sd","se","ci"
"197","Pirc_Ib","Dyn.slp3",18,189.871149777778,136.93386661919,32.2756218868411,68.0956098411152
"198","Pirc_Ib","Dyn.spkNum",18,6.34722222222222,2.89159391330752,0.681555221512499,1.43795582350071
"199","Pirc_Ib","Dyn.spkNum1",18,32.3888888888889,15.3781314893772,3.62466035270567,7.64736487649323
"200","Pirc_Ib","Dyn.spkNum3",18,21.4444444444444,12.4580341297929,2.93638680447667,6.19523462262908
"201","Pirc_Ib","Stat.afr",18,57.9828856277778,19.1588736221513,4.51578981937308,9.52748370713442
"202","Pirc_Ib","Stat.HzEnd",18,44.4162405972222,20.0178444997749,4.71825119684288,9.9546398752298
"203","Pirc_Ib","Stat.HzSTD",18,14.2852211527778,5.59890160690609,1.31967376447985,2.78426826595753
"204","Pirc_Ib","Stat.LSpkF",18,121.607619477778,58.2572188251115,13.731358161435,28.9706333538042
"205","Pirc_Ib","Stat.LSpkT",18,990.309722222222,10.7987860799561,2.54529828857329,5.3701099794644
"206","Pirc_Ib","Stat.mSfr",18,52.3283840694444,18.0992414329797,4.26603211719749,9.00054101640051
"207","Pirc_Ib","Stat.slp",18,-36.7054245416667,13.7893803711411,3.25018812293152,6.85729753264974
"208","Pirc_Ib","Stat.spkNum",18,53.5694444444444,18.8519396637314,4.44344479158136,9.37484904052067
"209","Pirc_Ib","Thr.F",18,37.0429797388889,43.3638682248721,10.2209617600956,21.5643443418884
"210","Pirc_Ib","Thr.F1",18,37.6091735555556,44.1684861747678,10.4106120296409,21.9644714349152
"211","Pirc_Ib","Thr.F3",18,55.6523481111111,44.5629340713405,10.5035842904713,22.1606257591217
"212","Pirc_Ib","Thr.L",18,0.781666972222222,0.717885956240444,0.169207342592069,0.356996287284526
"213","Pirc_Ib","Thr.L1",18,0.768367166666667,0.742287893501076,0.17495893436243,0.369131085198971
"214","Pirc_Ib","Thr.L3",18,1.54553811111111,0.52014695289458,0.122599812535092,0.258662994325982
"215","Pirc_Ib","Thr.T",18,37.4655555555556,35.6489093921493,8.40252852436453,17.7277855738931
"216","Pirc_Ib","Thr.T1",18,177.197777777778,179.397488327737,42.2843935081259,89.2122721226779
"217","Pirc_Ib","Thr.T3",18,388.793333333333,121.760700121663,28.6992722460166,60.5501716571252
"218","Pirc_II","Dyn.DI",17,60.9550976864706,33.8998924466955,8.22193160322377,17.4297163755088
"219","Pirc_II","Dyn.F",17,188.049576470588,103.251954917513,25.0422774221424,53.0872566117684
"220","Pirc_II","Dyn.IB",17,0,0,0,0
"221","Pirc_II","Dyn.IFRdrop",17,30.8829791176471,35.888272063203,8.70418449632291,18.4520468391544
"222","Pirc_II","Dyn.pfr",17,118.416648317647,48.3498154695453,11.7265527152975,24.8591812427566
"223","Pirc_II","Dyn.pfr1",17,94.2007992941176,36.0801060831678,8.75071108025831,18.5506787909937
"224","Pirc_II","Dyn.pfr3",17,87.3831917058824,34.1112164515712,8.27318520283145,17.5383691529213
"225","Pirc_II","Dyn.RDR",17,12.7647058823529,5.92167007444591,1.43621595276469,3.04464180909196
"226","Pirc_II","Dyn.slp",17,1114.62345627059,635.972981886848,154.246104668147,326.987134670242
"227","Pirc_II","Dyn.slp1",17,131.083306588235,59.3802810356024,14.4018335758029,30.5305233158472
"228","Pirc_II","Dyn.slp3",17,181.138945705882,92.1161199094739,22.341440718166,47.3617385706777
"229","Pirc_II","Dyn.spkNum",17,8.65196078429412,3.61879681103154,0.877687146443024,1.86061363280295
"230","Pirc_II","Dyn.spkNum1",17,37.0588235294118,16.2113794456058,3.93183704654118,8.33512219063708
"231","Pirc_II","Dyn.spkNum3",17,24.2941176470588,11.4551555308208,2.77828330655603,5.88969750430607
"232","Pirc_II","Stat.afr",17,66.14701526,26.2837739240639,6.37475153698651,13.5138695644765
"233","Pirc_II","Stat.HzEnd",17,50.0237573970588,22.489990106445,5.45462380752759,11.5632859148361
"234","Pirc_II","Stat.HzSTD",17,21.3520536811765,14.1051135782393,3.42099253790673,7.25218020970485
"235","Pirc_II","Stat.LSpkF",17,112.205106605882,41.6660921947381,10.1055117132723,21.4227278323084
"236","Pirc_II","Stat.LSpkT",17,991.106470588235,8.43321220026544,2.04535439205541,4.33595761450373
"237","Pirc_II","Stat.mSfr",17,57.4615562058824,23.5383204152749,5.70888125422417,12.1022876234547
"238","Pirc_II","Stat.slp",17,-45.9249392647059,22.6850548078544,5.50193394680643,11.6635789298003
"239","Pirc_II","Stat.spkNum",17,59.5588235294118,26.8665000238105,6.51608337581354,13.8134796785546
"240","Pirc_II","Thr.F",17,22.9040522894118,16.5491825697295,4.01376633838973,8.50880453058827
"241","Pirc_II","Thr.F1",17,20.8442946470588,17.8712000796915,4.33440268147734,9.18852321342264
"242","Pirc_II","Thr.F3",17,31.5757837058824,21.7559763471266,5.27659932162604,11.1858908637823
"243","Pirc_II","Thr.L",17,0.551402975470588,0.449977539516206,0.109135583798874,0.231357102428839
"244","Pirc_II","Thr.L1",17,0.554627941176471,0.561724655143923,0.13623824033365,0.288812167639883
"245","Pirc_II","Thr.L3",17,1.15781552941176,0.500584663640192,0.121409614279577,0.257376884687683
"246","Pirc_II","Thr.T",17,26.7658823529412,22.0984933900548,5.35967190671821,11.3619968771392
"247","Pirc_II","Thr.T1",17,136.976470588235,138.828203949215,33.6707852174943,71.3788760115067
"248","Pirc_II","Thr.T3",17,295.370588235294,122.970653433583,29.8247642916403,63.2256758698731
"249","POX_1.5","Dyn.DI",5,84.375090534,31.2219320155436,13.9628724751265,38.767148938066
"250","POX_1.5","Dyn.F",5,143.3336582,26.3553657590921,11.78647788184,32.7245088225569
"251","POX_1.5","Dyn.IB",5,0,0,0,0
"252","POX_1.5","Dyn.IFRdrop",5,65.0971748,34.1262169864979,15.2617081993435,42.3732950270242
"253","POX_1.5","Dyn.pfr",5,103.324776176,30.795003736703,13.7719443445256,38.2370474644145
"254","POX_1.5","Dyn.pfr1",5,73.4294916,29.2101587915292,13.0631801382845,36.269202553257
"255","POX_1.5","Dyn.pfr3",5,61.8973708,41.942335916578,18.7571828489199,52.0782885081835
"256","POX_1.5","Dyn.RDR",5,7,1.4142135623731,0.632455532033676,1.75597806617017
"257","POX_1.5","Dyn.slp",5,1641.30028346,800.8269696205,358.14070845732,994.358016968395
"258","POX_1.5","Dyn.slp1",5,189.7314686,75.1227031372718,33.5958941736953,93.2771559332993
"259","POX_1.5","Dyn.slp3",5,225.4475082,155.630647490095,69.6001414340317,193.240972005592
"260","POX_1.5","Dyn.spkNum",5,4.65,1.16726175299288,0.522015325445528,1.44934689517147
"261","POX_1.5","Dyn.spkNum1",5,15.6,6.26897120746299,2.80356915377524,7.78395585408278
"262","POX_1.5","Dyn.spkNum3",5,8.6,6.54217089351845,2.92574776766556,8.12317806857841
"263","POX_1.5","Stat.afr",5,46.480950834,14.0183924114597,6.26921567345823,17.4061331700024
"264","POX_1.5","Stat.HzEnd",5,12.2950179334,16.9020729466244,7.55883681386249,20.9866954728374
"265","POX_1.5","Stat.HzSTD",5,31.254889416,12.7738119387288,5.7126223653592,15.860782404145
