Afferenet,animal,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,Trial#,TrigStart.R,ms.F,Dyn.pfr,Stat.mSfr,Stat.afr,Stat.HzSTD,Stat.HzEnd,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,,TrigStart.Tri,ms.F1,Dyn.F,Dyn.pfr1,Dyn.pfr3,Thr.T1,Thr.F1,Thr.L1,Thr.T3,Thr.F3,Thr.L3,Dyn.slp1,Dyn.slp3,Dyn.spkNum1,Dyn.spkNum3,Dyn.RDR,Dyn.IFRdrop
A17024-18-62-cell 21,A17024-18-62,-cell 21,3,Pirc,Pirc_1.5,1,0,,,1.5,1.5,,163.5595,16.0867825,176.466725,51.6963975,62.198875,33.297895,41.39998,0,17.89998,16.9717475,0.36320625,988.79,95.2313125,16,51.75,124.770325,1095.049025,-67.8719,,91.343,28.02999,248.4872,152.9052,151.5152,18.44,11.42124,0.08917,151.02,19.59778,0.56234,101.9502,170.4455,84,61,23,143.7857
A17024-18-65-cell 1,A17024-18-65,-cell 1,1,WT,WT_1.5,0,0,,,1.5,1.5,,84.7455,30.148145,160.28605,58.5478175,67.4315375,23.314125,54.975225,0,12.56,16.3092375,0.24199725,999.075,169.957375,13,61,101.7382175,1304.80525,-49.89775,,131.333,33.32398,284.4645,125.3133,116.5501,30.08,11.62406,0.146291,231.9,24.53469,0.899384,138.6976,206.3646,58,38,20,78.69249
A17024-18-65-cell 3,A17024-18-65,-cell 3,1,WT,WT_1.5,0,0,,,1.5,1.5,,85.6145,29.7915525,204.306825,126.3875225,91.74129,29.000505,70.47626,0,21,20.68924,0.41910325,999.535,181.61515,15,84,77.919325,1872.478,-58.076625,,132.489,31.87793,295.7488,148.8095,148.8095,65.44,13.80519,0.2606,310.52,39.01634,1.208112,186.713,238.4033,69,46,23,53.02408
A17024-17-13 aff 4 ,A17024-17-13,aff 4,4,POX,POX_1.5,1,1,,,1.5,Ia,,76.807,10.233895,143.6782,20.03205,57.63554,50.82276175,0.322062,0,106.304,50.43658,1.6458,394.256,103.8787773,5,15,128.5359,2843.80442,-210.5801885,,276.164,11.806619,150.376093,116.387337,112.007168,395.924,63.7913,1.598124,531.6,63.704765,2.121119,293.411173,434.172994,24,16,8,104.870757
A17024-17-02 -cell 2,A17024-17-02,-cell 2,1,WT,WT_Ib,0,0,,2,Ib,0,,29.3281,29.89720925,106.2005925,44.1901845,57.60432525,26.44051025,5.4763345,0,105.904,153.60438,2.111731,961.232,256.1791755,5,45,62.010408,4530.835953,-78.0818115,,113.7005,33.314294,355.7652,102.627258,96.006144,543.536,147.805112,2.075135,602.028,173.200088,2.28212,388.35283,548.397082,15,10,5,12.439668
A17024-17-02 -cell 8,A17024-17-02,-cell 8,1,WT,WT_Ib,0,0,,8,Ib,0,,24.1678,30.4303105,170.11539,94.70785375,104.37243,21.9584835,84.90410075,0,68.26,73.0057455,1.39206875,999.536,271.5668565,7,98.5,75.4075365,2536.848214,-59.20996425,,125.7923,32.467584,340.572548,134.408602,128.600823,437.192,89.067216,1.672922,491.268,100.454875,1.856485,346.56634,422.850898,27,22,5,19.307313
A17024-17-08 -cell 12,A17024-17-08,-cell 12,2,OX,OX_Ib,0,1,,,Ib,Ib,,20.0073,8.0706305,95.56575,51.02,65.056209,22.79635,0.22644875,0,120.964,93.3255,1.819705,761.156,107.3700423,4,19,80.54,2819,-142.175575,,158.3381,20.95955,233.0439,120.4239,111.4082,547.556,146.457289,2.091601,594.084,159.5854,2.248054,501.3878,548.7879,16,13,3,4.753694
A17027-17-16 aff 5,A17027-17-16,aff 5,4,POX,POX_Ib,1,1,,,Ib,Ib,,96.4815,9.92552775,0,0.1745715,35.75491525,0,0.1745715,0,6.74,8.64611375,0.12555775,18.852,96.478124,3,0,0,305.2278898,0,,119.152,29.061668,238.958454,0,0,346.88676,9.151913,0.22003,316.92496,9.151913,0.22003,0,0,0,0,0,257.175141
A17027-17-16 aff 6,A17027-17-16,aff 6,4,POX,POX_Ib,1,1,,,Ib,Ib,,38.2695,30.8448675,0,0.1876255,0.1508615,0,0.1876255,0,143.984,220.0738723,2.8581555,17.484,220.0738723,0,0,0,0,0,,148.347,30.585244,304.173779,56.306306,0,714.076,242.858074,2.888812,671.612,0,0,149,0,2,0,2,55.635108
A17027-17-16 aff 7,A17027-17-16,aff 7,4,POX,POX_Ib,1,1,,,Ib,Ib,,64.3215,29.84932125,0,0.18791225,16.1632825,45.3045175,0.18791225,0,142.964,216.3012258,2.84068475,24.264,240.9334473,0,1,0,0,0,,165.949,40.349028,376.068115,74.139976,60.562016,665.772,252.145984,2.694327,718.072,281.020453,2.858969,785.005213,172,5,2,3,17.83367
